Vendor,Device,Adddress,City,PostalCode,Contact,Email
Precision Home Medical Equipment,Seating,"unit 13A, 390 Springbank Dr",London,N6J 1G9,15196571032,rob@precisionhme.ca
Precision Home Medical Equipment,Wheelchairs (Power),"unit 13A, 390 Springbank Dr",London,N6J 1G9,15196571032,rob@precisionhme.ca
Preston Medical Pharmacy,Seating,125 Waterloo St S,Cambridge,N3H 1N3,15196531870,prestonmed@rogers.com
Preston Medical Pharmacy,Ambulation Aids,125 Waterloo St S,Cambridge,N3H 1N3,15196531870,prestonmed@rogers.com
Preston Medical Pharmacy,Wheelchairs (Power),125 Waterloo St S,Cambridge,N3H 1N3,15196531870,prestonmed@rogers.com
Preston Medical Pharmacy,Wheelchairs (Manual),125 Waterloo St S,Cambridge,N3H 1N3,15196531870,prestonmed@rogers.com
Primary Care Pharmacy,Ambulation Aids,370 Bayview Dr,Barrie,L4N 7L3,17057354500,370bayviewdrive@gmail.com
Prime Care Pharmacy Arboretum,Ambulation Aids,"unit 101, 281 Stone Rd E",Guelph,N1G 5J5,15198374594,danny@primecarepharmacy.ca
Prisms Pharmasave Pharmacy,Ambulation Aids,155 James St S,Hamilton,L8P 3A4,19055275771,pharmasave778@live.com
Professional Mobility And Medical Supplies,Ambulation Aids,157 West St,Simcoe,N3Y 1S7,15194280871,phauser@gmail.com
Professional Mobility And Medical Supplies,Wheelchairs (Power),157 West St,Simcoe,N3Y 1S7,15194280871,phauser@gmail.com
Professional Mobility And Medical Supplies,Wheelchairs (Manual),157 West St,Simcoe,N3Y 1S7,15194280871,phauser@gmail.com
Professional Mobility And Medical Supplies,Seating,157 West St,Simcoe,N3Y 1S7,15194280871,phauser@gmail.com
Purehealth Pharmacy,Wheelchairs (Manual),201 Georgian Dr,Barrie,L4M 6M2,17057973070,info@purehealthpharmacy.com
Purehealth Pharmacy,Wheelchairs (Power),201 Georgian Dr,Barrie,L4M 6M2,17057973070,info@purehealthpharmacy.com
Purehealth Pharmacy,Seating,201 Georgian Dr,Barrie,L4M 6M2,17057973070,info@purehealthpharmacy.com
Purehealth Pharmacy,Ambulation Aids,201 Georgian Dr,Barrie,L4M 6M2,17057973070,info@purehealthpharmacy.com
Quality Life Services Inc.,Ambulation Aids,2220 Gladwin Cres,Ottawa,K1B 4S6,16132477554,shane@qualitylifecares.com
Queen Lake Pharmacy,Ambulation Aids,10 - 910 Queenston Rd.,Stoney Creek,L8G 1B5,19056620096,queenlakepharmacy@gmail.com
R & T Mobility,Wheelchairs (Power),316 Wellington St E,Sault Ste Marie,P6A 2L9,17054506470,robert@rtmobility.ca
R & T Mobility,Ambulation Aids,316 Wellington St E,Sault Ste Marie,P6A 2L9,17054506470,robert@rtmobility.ca
R & T Mobility,Seating,316 Wellington St E,Sault Ste Marie,P6A 2L9,17054506470,robert@rtmobility.ca
R & T Mobility,Wheelchairs (Manual),316 Wellington St E,Sault Ste Marie,P6A 2L9,17054506470,robert@rtmobility.ca
Rexall Pharmacy,Seating,325 Thorold Rd W,Welland,L3C 3W4,19057322148,amatthews@rexall.ca
Rexall Pharmacy,Ambulation Aids,260 St Paul Ave,Brantford,N3R 4M7,15197566363,amatthews@rexall.ca
Rexall Pharmacy,Wheelchairs (Power),260 St Paul Ave,Brantford,N3R 4M7,15197566363,amatthews@rexall.ca
Rexall Pharmacy,Wheelchairs (Power),325 Thorold Rd W,Welland,L3C 3W4,19057322148,amatthews@rexall.ca
Rexall Pharmacy,Ambulation Aids,1119 Fennell Ave E,Hamilton,L8T 1S2,19053857002,amatthews@rexall.ca
Rexall Pharmacy,Seating,1119 Fennell Ave E,Hamilton,L8T 1S2,19053857002,amatthews@rexall.ca
Rexall Pharmacy,Ambulation Aids,325 Thorold Rd W,Welland,L3C 3W4,19057322148,amatthews@rexall.ca
Rexall Pharmacy,Wheelchairs (Manual),1119 Fennell Ave E,Hamilton,L8T 1S2,19053857002,amatthews@rexall.ca
Rexall Pharmacy,Seating,260 St Paul Ave,Brantford,N3R 4M7,15197566363,amatthews@rexall.ca
Rexall Pharmacy,Wheelchairs (Power),1119 Fennell Ave E,Hamilton,L8T 1S2,19053857002,amatthews@rexall.ca
Rexall Pharmacy,Wheelchairs (Manual),325 Thorold Rd W,Welland,L3C 3W4,19057322148,amatthews@rexall.ca
Rexall Pharmacy,Wheelchairs (Manual),260 St Paul Ave,Brantford,N3R 4M7,15197566363,amatthews@rexall.ca
Roulston's Discount Drugs Limited,Ambulation Aids,414 Main St,Port Dover,N0A 1N0,15195832100,barmstrong@roulstons.com
Roulston's Discount Drugs Limited,Ambulation Aids,17 Norfolk St,Simcoe,N3Y 2V8,15194261731,barmstrong@roulstons.com
Roulston's Discount Drugs Limited,Ambulation Aids,123 King St,Delhi,N4B 1X9,15195821800,barmstrong@roulstons.com
Roulston's Pharmacy,Ambulation Aids,65 Donly Dr N,Simcoe,N3Y 0C2,15194268011,barmstrong@roulstons.com
Roulston's Pharmacy,Wheelchairs (Power),65 Donly Dr N,Simcoe,N3Y 0C2,15194268011,barmstrong@roulstons.com
Roulston's Pharmacy,Seating,65 Donly Dr N,Simcoe,N3Y 0C2,15194268011,barmstrong@roulstons.com
Roulston's Pharmacy,Wheelchairs (Manual),65 Donly Dr N,Simcoe,N3Y 0C2,15194268011,barmstrong@roulstons.com
Rylander Pharmacy,Ambulation Aids,"unit 8, 6758 Kingston Rd.",Scarborough,M1B 1G8,14162824223,minaabd@hotmail.com; pharmasave606n@hotmail.com
S.M.C. Versatile Limited,Seating,1E & 1F - 20 Steelcase Rd. W.,Markham,L3R 1B2,19056048199,accounting@versatilemedical.com
S.M.C. Versatile Limited,Wheelchairs (Power),1E & 1F - 20 Steelcase Rd. W.,Markham,L3R 1B2,19056048199,accounting@versatilemedical.com
S.M.C. Versatile Limited,Wheelchairs (Manual),1E & 1F - 20 Steelcase Rd. W.,Markham,L3R 1B2,19056048199,accounting@versatilemedical.com
S.M.C. Versatile Limited,Ambulation Aids,1E & 1F - 20 Steelcase Rd. W.,Markham,L3R 1B2,19056048199,accounting@versatilemedical.com
Seating Excellence And Adaptive Therapeutic Systems (Seats),Wheelchairs (Power),"unit 241, 6765 Rideau Valley Dr. S.",Kars,K0A 2E0,16134891397,seats@rogers.com
Seating Excellence And Adaptive Therapeutic Systems (Seats),Seating,"unit 241, 6765 Rideau Valley Dr. S.",Kars,K0A 2E0,16134891397,seats@rogers.com
Seating Excellence And Adaptive Therapeutic Systems (Seats),Ambulation Aids,"unit 241, 6765 Rideau Valley Dr. S.",Kars,K0A 2E0,16134891397,seats@rogers.com
Seating Excellence And Adaptive Therapeutic Systems (Seats),Wheelchairs (Manual),"unit 241, 6765 Rideau Valley Dr. S.",Kars,K0A 2E0,16134891397,seats@rogers.com
Senick Mobility Inc.,Ambulation Aids,"unit 33B, 7378 Yonge St",Thornhill,L4J 8J1,19057094000,kam@senick.ca
Seniors Store,Wheelchairs (Manual),4974 Dundas St W,Etobicoke,M9A 1B7,14162311300,info@seniorsstore.ca
Seniors Store,Seating,4974 Dundas St W,Etobicoke,M9A 1B7,14162311300,info@seniorsstore.ca
Seniors Store,Wheelchairs (Power),4974 Dundas St W,Etobicoke,M9A 1B7,14162311300,info@seniorsstore.ca
Seniors Store,Ambulation Aids,4974 Dundas St W,Etobicoke,M9A 1B7,14162311300,info@seniorsstore.ca
Shoppers Drug Mart,Wheelchairs (Power),74 Kent St W,Lindsay,K9V 2Y4,17053247400,asdm948@shoppersdrugmart.ca
Shoppers Drug Mart,Seating,74 Kent St W,Lindsay,K9V 2Y4,17053247400,asdm948@shoppersdrugmart.ca
Shoppers Drug Mart,Ambulation Aids,74 Kent St W,Lindsay,K9V 2Y4,17053247400,asdm948@shoppersdrugmart.ca
Shoppers Drug Mart,Wheelchairs (Manual),74 Kent St W,Lindsay,K9V 2Y4,17053247400,asdm948@shoppersdrugmart.ca
Shoppers Drug Mart #1056,Wheelchairs (Power),133 King St. W.,Dundas,L9H 1V3,19056280404,asdm1056@shoppersdrugmart.ca
Shoppers Drug Mart #1056,Wheelchairs (Manual),133 King St. W.,Dundas,L9H 1V3,19056280404,asdm1056@shoppersdrugmart.ca
Shoppers Drug Mart #1056,Seating,133 King St. W.,Dundas,L9H 1V3,19056280404,asdm1056@shoppersdrugmart.ca
Shoppers Drug Mart #1056,Ambulation Aids,133 King St. W.,Dundas,L9H 1V3,19056280404,asdm1056@shoppersdrugmart.ca
Silver Cross,Seating,C - 569 Lancaster St. W.,Kitchener,N2K 3M9,15195132429,Dimitrios@silvercross.com
Silver Cross,Ambulation Aids,9 - 850 King St W,Oshawa,L1J 2L5,19056688560,lwestbury@silvercross.com
Silver Cross,Seating,C1-1695 Wonderland Rd N,London,N6G 4W3,15194716938,jroseborough@silvercross.com
Silver Cross,Wheelchairs (Power),9 - 850 King St W,Oshawa,L1J 2L5,19056688560,lwestbury@silvercross.com
Silver Cross,Wheelchairs (Power),C - 569 Lancaster St. W.,Kitchener,N2K 3M9,15195132429,Dimitrios@silvercross.com
Silver Cross,Seating,"unit B, 479 Queensway W",Simcoe,N3Y 4R2,15194260525,mpost@silvercross.com
Silver Cross,Wheelchairs (Manual),C - 569 Lancaster St. W.,Kitchener,N2K 3M9,15195132429,Dimitrios@silvercross.com
Silver Cross,Wheelchairs (Power),"unit B, 479 Queensway W",Simcoe,N3Y 4R2,15194260525,mpost@silvercross.com
Silver Cross,Wheelchairs (Power),"unit 16, 225 The East Mall",Etobicoke,M9B 6J1,14169154479,ejedrasik@silvercross.com
Silver Cross,Wheelchairs (Manual),C1-1695 Wonderland Rd N,London,N6G 4W3,15194716938,jroseborough@silvercross.com
Silver Cross,Ambulation Aids,C - 569 Lancaster St. W.,Kitchener,N2K 3M9,15195132429,Dimitrios@silvercross.com
Silver Cross,Wheelchairs (Manual),"unit B, 479 Queensway W",Simcoe,N3Y 4R2,15194260525,mpost@silvercross.com
Silver Cross,Wheelchairs (Manual),9 - 850 King St W,Oshawa,L1J 2L5,19056688560,lwestbury@silvercross.com
Silver Cross,Ambulation Aids,"unit 16, 225 The East Mall",Etobicoke,M9B 6J1,14169154479,ejedrasik@silvercross.com
Silver Cross,Ambulation Aids,"unit B, 479 Queensway W",Simcoe,N3Y 4R2,15194260525,mpost@silvercross.com
Silver Cross,Seating,"unit 16, 225 The East Mall",Etobicoke,M9B 6J1,14169154479,ejedrasik@silvercross.com
Silver Cross,Ambulation Aids,C1-1695 Wonderland Rd N,London,N6G 4W3,15194716938,jroseborough@silvercross.com
Silver Cross,Seating,9 - 850 King St W,Oshawa,L1J 2L5,19056688560,lwestbury@silvercross.com
Silver Cross,Wheelchairs (Power),C1-1695 Wonderland Rd N,London,N6G 4W3,15194716938,jroseborough@silvercross.com
Silver Cross,Wheelchairs (Manual),"unit 16, 225 The East Mall",Etobicoke,M9B 6J1,14169154479,ejedrasik@silvercross.com
Silver Cross (Oakville) Inc.,Wheelchairs (Power),298 Speers Rd.,Oakville,L6K 2E9,19058475504,jrell@silvercross.com
Silver Cross (Oakville) Inc.,Ambulation Aids,298 Speers Rd.,Oakville,L6K 2E9,19058475504,jrell@silvercross.com
Silver Cross (Oakville) Inc.,Seating,298 Speers Rd.,Oakville,L6K 2E9,19058475504,jrell@silvercross.com
Silver Cross (Oakville) Inc.,Wheelchairs (Manual),298 Speers Rd.,Oakville,L6K 2E9,19058475504,jrell@silvercross.com
Silver Cross (Ottawa) Inc.,Wheelchairs (Manual),"unit 42, 5300 Canotek Rd",Ottawa,K1J 1A4,16132313549,mbourassa@savaria.com
Silver Cross (Ottawa) Inc.,Ambulation Aids,"unit 42, 5300 Canotek Rd",Ottawa,K1J 1A4,16132313549,mbourassa@savaria.com
Silver Cross (Ottawa) Inc.,Wheelchairs (Power),"unit 42, 5300 Canotek Rd",Ottawa,K1J 1A4,16132313549,mbourassa@savaria.com
Silver Cross (Ottawa) Inc.,Seating,"unit 42, 5300 Canotek Rd",Ottawa,K1J 1A4,16132313549,mbourassa@savaria.com
Silver Cross (St. Catharines) Inc.,Ambulation Aids,"unit 2, 320 VanSickle Rd",St Catharines,L2S 0B4,19056854125,jrell@silvercross.com; aharper@savaria.com
Silver Cross (St. Catharines) Inc.,Wheelchairs (Manual),"unit 2, 320 VanSickle Rd",St Catharines,L2S 0B4,19056854125,jrell@silvercross.com; aharper@savaria.com
Silver Cross (St. Catharines) Inc.,Seating,"unit 2, 320 VanSickle Rd",St Catharines,L2S 0B4,19056854125,jrell@silvercross.com; aharper@savaria.com
Silver Cross (St. Catharines) Inc.,Wheelchairs (Power),"unit 2, 320 VanSickle Rd",St Catharines,L2S 0B4,19056854125,jrell@silvercross.com; aharper@savaria.com
Silver Cross Sudbury,Wheelchairs (Manual),D - 760 Notre Dame Ave,Sudbury,P3A 2T4,17052220700,cjacklin@silvercross.com
Silver Cross Sudbury,Seating,D - 760 Notre Dame Ave,Sudbury,P3A 2T4,17052220700,cjacklin@silvercross.com
Silver Cross Sudbury,Wheelchairs (Power),D - 760 Notre Dame Ave,Sudbury,P3A 2T4,17052220700,cjacklin@silvercross.com
Silver Cross Sudbury,Ambulation Aids,D - 760 Notre Dame Ave,Sudbury,P3A 2T4,17052220700,cjacklin@silvercross.com
Simpson's Pharmacy,Wheelchairs (Power),"1882 Niagara Stone Rd., Hwy. 55, Po Box 329",Virgil,L0S 1T0,19054682121,sean@simpsonspharmacy.ca
Simpson's Pharmacy,Ambulation Aids,"1882 Niagara Stone Rd., Hwy. 55, Po Box 329",Virgil,L0S 1T0,19054682121,sean@simpsonspharmacy.ca
Simpson's Pharmacy,Wheelchairs (Manual),"1882 Niagara Stone Rd., Hwy. 55, Po Box 329",Virgil,L0S 1T0,19054682121,sean@simpsonspharmacy.ca
Simpson's Pharmacy,Seating,"1882 Niagara Stone Rd., Hwy. 55, Po Box 329",Virgil,L0S 1T0,19054682121,sean@simpsonspharmacy.ca
Soul. The Wheelchair Studio Ltd.,Ambulation Aids,"unit 2, 10 Carlow Court",Whitby,L1N 9T7,19056658000,david@soulwheelchairstudio.com
Soul. The Wheelchair Studio Ltd.,Wheelchairs (Power),"unit 2, 10 Carlow Court",Whitby,L1N 9T7,19056658000,david@soulwheelchairstudio.com
Soul. The Wheelchair Studio Ltd.,Wheelchairs (Manual),"unit 2, 10 Carlow Court",Whitby,L1N 9T7,19056658000,david@soulwheelchairstudio.com
Soul. The Wheelchair Studio Ltd.,Seating,"unit 2, 10 Carlow Court",Whitby,L1N 9T7,19056658000,david@soulwheelchairstudio.com
St. Jacob Pharmacy Inc.,Ambulation Aids,"90 Hastings St W, PO Box 567",Bancroft,K0L 1C0,16133324045,bancroftida@gmail.com
Starkman Surgical Supply Inc.,Wheelchairs (Manual),1243 Bathurst St,Toronto,M5R 3H3,14165348411,jgarde@rogers.com
Starkman Surgical Supply Inc.,Ambulation Aids,1243 Bathurst St,Toronto,M5R 3H3,14165348411,jgarde@rogers.com
Starkman Surgical Supply Inc.,Wheelchairs (Power),1243 Bathurst St,Toronto,M5R 3H3,14165348411,jgarde@rogers.com
Starkman Surgical Supply Inc.,Seating,1243 Bathurst St,Toronto,M5R 3H3,14165348411,jgarde@rogers.com
Stoney Creek Medical Pharmacy,Ambulation Aids,"unit 101, 980 Queenston Rd",Stoney Creek,L8G 1B9,19056643311,scmedical@hotmail.com
Storybrook Pharmacy and Medical Clinic,Ambulation Aids,1 - 611 Wanless Dr.,Brampton,L7A 3V6,19058409994,storybrook-medical@hotmail.com
Stouffville Pharmasave,Ambulation Aids,"unit 208, 5892 Main St",Stouffville,L4A 2S8,19056429595,nayan@tepharmasave.com
Stp Health Care Services,Wheelchairs (Power),12 Kilborn Way,Elliot Lake,P5A 2T1,17054619436,stphealthcare@vianet.on.ca
Stp Health Care Services,Wheelchairs (Manual),12 Kilborn Way,Elliot Lake,P5A 2T1,17054619436,stphealthcare@vianet.on.ca
Stp Health Care Services,Ambulation Aids,12 Kilborn Way,Elliot Lake,P5A 2T1,17054619436,stphealthcare@vianet.on.ca
Stp Health Care Services,Seating,12 Kilborn Way,Elliot Lake,P5A 2T1,17054619436,stphealthcare@vianet.on.ca
Stuart Ellis Pharmacy Inc.,Ambulation Aids,169 Hurontario St.,Collingwood,L9Y 2M1,17054454711,stuartellishhc@hoganrxgroup.com
Sunset Medical Supply,Ambulation Aids,140 Scott St,Fort Frances,P9A 1G6,18072740431,customerservice@sunsetmedical.ca
Sunset Medical Supply,Seating,140 Scott St,Fort Frances,P9A 1G6,18072740431,customerservice@sunsetmedical.ca
Sunset Medical Supply,Wheelchairs (Power),140 Scott St,Fort Frances,P9A 1G6,18072740431,customerservice@sunsetmedical.ca
Sunset Medical Supply,Wheelchairs (Manual),140 Scott St,Fort Frances,P9A 1G6,18072740431,customerservice@sunsetmedical.ca
Sunshine Home Health Care,Ambulation Aids,3089 Forest Glade Dr,Windsor,N8R 1W6,15199625198,fmurgic@sunshinedrugs.com
Superior Home Health Care,Wheelchairs (Power),"unit 7, 977 Alloy Dr",Thunder Bay,P7B 5Z8,18076239110,jim@superiorhomehealthcare.ca
Superior Home Health Care,Ambulation Aids,"unit 7, 977 Alloy Dr",Thunder Bay,P7B 5Z8,18076239110,jim@superiorhomehealthcare.ca
Superior Home Health Care,Seating,"unit 7, 977 Alloy Dr",Thunder Bay,P7B 5Z8,18076239110,jim@superiorhomehealthcare.ca
Superior Home Health Care,Wheelchairs (Manual),"unit 7, 977 Alloy Dr",Thunder Bay,P7B 5Z8,18076239110,jim@superiorhomehealthcare.ca
Superior Home Health Care Barrie,Wheelchairs (Power),"unit 1-3, 56 Churchill Dr",Barrie,L4N 8Z5,17057223376,Barrie@SuperiorHomeHealthCare.ca
Superior Home Health Care Barrie,Seating,"unit 1-3, 56 Churchill Dr",Barrie,L4N 8Z5,17057223376,Barrie@SuperiorHomeHealthCare.ca
Superior Home Health Care Barrie,Wheelchairs (Manual),"unit 1-3, 56 Churchill Dr",Barrie,L4N 8Z5,17057223376,Barrie@SuperiorHomeHealthCare.ca
Superior Home Health Care Barrie,Ambulation Aids,"unit 1-3, 56 Churchill Dr",Barrie,L4N 8Z5,17057223376,Barrie@SuperiorHomeHealthCare.ca
TLC Medical Supply Inc.,Wheelchairs (Manual),2868 County Road 43,Kemptville,K0G 1J0,16132583344,tlcmedicalsupply@cogeco.net
TLC Medical Supply Inc.,Wheelchairs (Power),2868 County Road 43,Kemptville,K0G 1J0,16132583344,tlcmedicalsupply@cogeco.net
TLC Medical Supply Inc.,Seating,2868 County Road 43,Kemptville,K0G 1J0,16132583344,tlcmedicalsupply@cogeco.net
TLC Medical Supply Inc.,Ambulation Aids,2868 County Road 43,Kemptville,K0G 1J0,16132583344,tlcmedicalsupply@cogeco.net
Temiskaming Pharmasave G&P Pharmacy,Ambulation Aids,"unit 3, 240 Shepherdson Rd",New Liskeard,P0J 1P0,17056474617,temiskamingpharmasave@gmail.com
Thames Valley Children's Centre,Seating,779 Base Line Rd E,London,N6C 5Y6,15196858680,carrie.laskey@tvcc.on.ca
The Good Access Company,Ambulation Aids,"unit 1, 15 Antares Dr",Ottawa,K2E 7Y9,16133196767,luc@goodaccess.ca
The Good Access Company,Wheelchairs (Manual),"unit 1, 15 Antares Dr",Ottawa,K2E 7Y9,16133196767,luc@goodaccess.ca
The Good Access Company,Seating,"unit 1, 15 Antares Dr",Ottawa,K2E 7Y9,16133196767,luc@goodaccess.ca
The Good Access Company,Wheelchairs (Power),"unit 1, 15 Antares Dr",Ottawa,K2E 7Y9,16133196767,luc@goodaccess.ca
The Medical Supply Store,Ambulation Aids,635 Kingston Rd,Pickering,L1V 3N7,19058396200,themedicalsupplystore@hotmail.com
The Medicine Shoppe,Ambulation Aids,55 Argyle St N,Caledonia,N3W 1B8,19057653332,jeffjcoolen@gmail.com
The Medicine Shoppe 213,Ambulation Aids,1060 Burnham St,Cobourg,K9A 5V9,19053770128,ms0213@store.medicineshoppe.ca
The Medicine Shoppe 213,Wheelchairs (Power),1060 Burnham St,Cobourg,K9A 5V9,19053770128,ms0213@store.medicineshoppe.ca
The Medicine Shoppe 213,Wheelchairs (Manual),1060 Burnham St,Cobourg,K9A 5V9,19053770128,ms0213@store.medicineshoppe.ca
The Medicine Shoppe 213,Seating,1060 Burnham St,Cobourg,K9A 5V9,19053770128,ms0213@store.medicineshoppe.ca
The Palmerston Pharmacy & Homecare,Ambulation Aids,499 College St,Toronto,M6G 1A5,14169294499,thepalmerstonpharmacy@gmail.com
The Rehabilitation Centre,Seating,"unit 1209, 505 Smyth Rd.",Ottawa,K1H 8M2,16137377350,kademers@toh.on.ca
Themobilitystore.Ca,Wheelchairs (Manual),131 - 556 O'Connor Dr.,Kingston,K7P 1N3,16136348880,info@themobilitystore.ca
Themobilitystore.Ca,Ambulation Aids,131 - 556 O'Connor Dr.,Kingston,K7P 1N3,16136348880,info@themobilitystore.ca
Themobilitystore.Ca,Seating,131 - 556 O'Connor Dr.,Kingston,K7P 1N3,16136348880,info@themobilitystore.ca
Themobilitystore.Ca,Wheelchairs (Power),131 - 556 O'Connor Dr.,Kingston,K7P 1N3,16136348880,info@themobilitystore.ca
Thomson Guardian Pharmacy,Wheelchairs (Power),20 Talbot St. E.,Leamington,N8H 1L2,15193265778,laurie@thomsonguardian.com
Thomson Guardian Pharmacy,Ambulation Aids,20 Talbot St. E.,Leamington,N8H 1L2,15193265778,laurie@thomsonguardian.com
Thomson Guardian Pharmacy,Wheelchairs (Manual),20 Talbot St. E.,Leamington,N8H 1L2,15193265778,laurie@thomsonguardian.com
Thomson Guardian Pharmacy,Seating,20 Talbot St. E.,Leamington,N8H 1L2,15193265778,laurie@thomsonguardian.com
Total Access Centre Inc.,Ambulation Aids,200 Spadina Ave.,Toronto,M5T 2C2,14165461000,contact@totalaccesscentre.com
Town Square Pharmacy Ltd.,Ambulation Aids,K - 100 Mill St.,New Hamburg,N3A 1R1,15196629995,frontstaff.ps758@gmail.com
Town Square Pharmacy Ltd.,Seating,K - 100 Mill St.,New Hamburg,N3A 1R1,15196629995,frontstaff.ps758@gmail.com
Town Square Pharmacy Ltd.,Wheelchairs (Manual),K - 100 Mill St.,New Hamburg,N3A 1R1,15196629995,frontstaff.ps758@gmail.com
Town Square Pharmacy Ltd.,Wheelchairs (Power),K - 100 Mill St.,New Hamburg,N3A 1R1,15196629995,frontstaff.ps758@gmail.com
Trinity Home Medical Supplies,Seating,B105 - 11685 Yonge St.,Richmond Hill,L4E 0K7,14163998064,trinityhome@ymail.com
Trinity Home Medical Supplies,Ambulation Aids,B105 - 11685 Yonge St.,Richmond Hill,L4E 0K7,14163998064,trinityhome@ymail.com
Trinity Home Medical Supplies,Wheelchairs (Manual),B105 - 11685 Yonge St.,Richmond Hill,L4E 0K7,14163998064,trinityhome@ymail.com
Trinity Home Medical Supplies,Wheelchairs (Power),B105 - 11685 Yonge St.,Richmond Hill,L4E 0K7,14163998064,trinityhome@ymail.com
True North Home Health,Ambulation Aids,1139 Confederation St.,Sarnia,N7S 3Y5,15193839900,medmotion@hotmail.com
True North Home Health,Seating,1139 Confederation St.,Sarnia,N7S 3Y5,15193839900,medmotion@hotmail.com
True North Home Health,Wheelchairs (Manual),1139 Confederation St.,Sarnia,N7S 3Y5,15193839900,medmotion@hotmail.com
True North Home Health,Wheelchairs (Power),1139 Confederation St.,Sarnia,N7S 3Y5,15193839900,medmotion@hotmail.com
Truscott Pharmacy,Ambulation Aids,15 - 2425 Truscott Dr,Mississauga,L5J 2B4,19058221614,mehul@adapthhc.com
Universal Health Products,Wheelchairs (Manual),635 Tecumseh Rd W,Windsor,N8X 1H4,15192588418,shannon@universalhealthproducts.ca
Universal Health Products,Wheelchairs (Power),635 Tecumseh Rd W,Windsor,N8X 1H4,15192588418,shannon@universalhealthproducts.ca
Universal Health Products,Seating,635 Tecumseh Rd W,Windsor,N8X 1H4,15192588418,shannon@universalhealthproducts.ca
Universal Health Products,Ambulation Aids,635 Tecumseh Rd W,Windsor,N8X 1H4,15192588418,shannon@universalhealthproducts.ca
Upton Positioning Designs Inc.,Seating,"unit 7, 81 Auriga Dr",Nepean,K2E 7Y5,16137275457,upd@bellnet.ca
Val Est Pharmacy,Wheelchairs (Manual),"unit 1, 3179 Hwy 69 N",Val Caron,P3N 1S5,17058971867,carloberardi@nickelcentrephm.com
Val Est Pharmacy,Wheelchairs (Power),"unit 1, 3179 Hwy 69 N",Val Caron,P3N 1S5,17058971867,carloberardi@nickelcentrephm.com
Val Est Pharmacy,Seating,"unit 1, 3179 Hwy 69 N",Val Caron,P3N 1S5,17058971867,carloberardi@nickelcentrephm.com
Val Est Pharmacy,Ambulation Aids,"unit 1, 3179 Hwy 69 N",Val Caron,P3N 1S5,17058971867,carloberardi@nickelcentrephm.com
Valley Mobility Inc.,Seating,387 Pembroke St E,Pembroke,K8A 3K7,16137321919,valleymobility@hotmail.com
Valley Mobility Inc.,Ambulation Aids,387 Pembroke St E,Pembroke,K8A 3K7,16137321919,valleymobility@hotmail.com
Valley Mobility Inc.,Wheelchairs (Manual),387 Pembroke St E,Pembroke,K8A 3K7,16137321919,valleymobility@hotmail.com
Valley Mobility Inc.,Wheelchairs (Power),387 Pembroke St E,Pembroke,K8A 3K7,16137321919,valleymobility@hotmail.com
Valor Health Pharmacy,Ambulation Aids,"unit 3, 416 Advance Blvd",Tecumseh,N8N 5G8,15197274114,valorhealth.pharmacy@gmail.com
Vaughan Wheelchair & Home Health Supplies Inc.,Wheelchairs (Power),"unit 4a, 7700 Pinevalley Dr",Woodbridge,L4L 2X4,19052646653,vaughanwheelchair@bellnet.ca
Vaughan Wheelchair & Home Health Supplies Inc.,Ambulation Aids,"unit 4a, 7700 Pinevalley Dr",Woodbridge,L4L 2X4,19052646653,vaughanwheelchair@bellnet.ca
Vaughan Wheelchair & Home Health Supplies Inc.,Wheelchairs (Manual),"unit 4a, 7700 Pinevalley Dr",Woodbridge,L4L 2X4,19052646653,vaughanwheelchair@bellnet.ca
Vaughan Wheelchair & Home Health Supplies Inc.,Seating,"unit 4a, 7700 Pinevalley Dr",Woodbridge,L4L 2X4,19052646653,vaughanwheelchair@bellnet.ca
Vital Mobility Medical Supplies Inc.,Ambulation Aids,62-130 Bass Pro Mills Dr.,Concord,L4K 5X2,16474307176,bruno@vitalmobility.ca
Vital Mobility Medical Supplies Inc.,Wheelchairs (Power),62-130 Bass Pro Mills Dr.,Concord,L4K 5X2,16474307176,bruno@vitalmobility.ca
Vital Mobility Medical Supplies Inc.,Seating,62-130 Bass Pro Mills Dr.,Concord,L4K 5X2,16474307176,bruno@vitalmobility.ca
Vital Mobility Medical Supplies Inc.,Wheelchairs (Manual),62-130 Bass Pro Mills Dr.,Concord,L4K 5X2,16474307176,bruno@vitalmobility.ca
Vitalaire,Seating,101 Peter St,Port Hope,L1A 1C5,18002637989,Margaret.Jaworski@Airliquide.com
Vitalaire,Wheelchairs (Power),101 Peter St,Port Hope,L1A 1C5,18002637989,Margaret.Jaworski@Airliquide.com
Vitalaire,Wheelchairs (Manual),101 Peter St,Port Hope,L1A 1C5,18002637989,Margaret.Jaworski@Airliquide.com
Vitalaire,Ambulation Aids,101 Peter St,Port Hope,L1A 1C5,18002637989,Margaret.Jaworski@Airliquide.com
WSM Niagara,Seating,547 Glenridge Ave,St Catharines,L2T 4C2,19056882553,alanr@pbogroup.ca
WSM Niagara,Wheelchairs (Manual),547 Glenridge Ave,St Catharines,L2T 4C2,19056882553,alanr@pbogroup.ca
WSM Niagara,Ambulation Aids,547 Glenridge Ave,St Catharines,L2T 4C2,19056882553,alanr@pbogroup.ca
WSM Niagara,Wheelchairs (Power),547 Glenridge Ave,St Catharines,L2T 4C2,19056882553,alanr@pbogroup.ca
