Longitude,Latitude,Ontario_Geospatial_ID,MOH_ID,Service_Type,Service_Detail,Name_Health_Provider,Address,Unit/Floor,Address_Type,Community/Muncipality,Postal_Code
-79.86792478,44.15406335,137288918,3234,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) York Region Branch,35 Victoria Street East,Suite 1,Practice Location,New Tecumseth,L9R1W1
-79.50111314,43.81420831,137288919,8872,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) York Region Branch,8271 Keele Street,Suite 2,Practice Location,Vaughan,L4K1Z1
-78.91114655,43.88501235,137288920,3239,Mental Health and Addiction Organization,Mental Health Services,Victorian Order of Nurses (VON) Canada - Ontario Branch,1615 Dundas Street East,"Suite 304, , Lang Tower West Building, Whitby Mall",Administration and Practice Location,Whitby,L1N2L1
-94.4896441,49.76865234,137288921,3242,Mental Health and Addiction Organization,Mental Health Services,Kenora Association for Community Living,12 Main Street,0,Practice Location,Kenora,P9N3E6
-94.47847479,49.75992254,137288922,13902,Mental Health and Addiction Organization,Mental Health Services,Kenora Association for Community Living,501 Eighth Avenue South,0,Administrative Office,Kenora,P9N3Z9
-94.46594049,49.76947164,137288923,30564,Mental Health and Addiction Organization,Mental Health Services,Kenora Association for Community Living,1301 Railway Street,0,Practice Location,Kenora,P9N0B2
-94.4879129,49.76635954,137288924,3247,Mental Health and Addiction Organization,Mental Health Services,Kenora Sexual Assault Centre,101 Chipman Street,0,Administration and Practice Location,Kenora,P9N1V7
-78.19844043,43.9777568,137288925,12618,Mental Health and Addiction Organization,Mental Health Services,Northumberland Hills Hospital,1000 DePalma Drive,0,Practice Location,Cobourg,K9A5W6
-78.19612083,43.9714599,137288926,12619,Mental Health and Addiction Organization,Mental Health Services,Northumberland Hills Hospital,1011 Elgin Street West,Suite 200,Administration and Practice Location,Cobourg,K9A5J4
-81.32538583,48.47359297,137288927,3251,Mental Health and Addiction Organization,Addiction Services,Timmins Consumer Survivor Network (TCSN) Inc.,330 Second Avenue,Suite 102,Administrative Office,Timmins,P4N8A4
-81.18818828,42.77908835,137288928,30282,Mental Health and Addiction Organization,Mental Health Services,Psychiatric Survivors Network of Elgin (PSNE),701 Talbot Street,0,Administration and Practice Location,St. Thomas,N5P1E1
-83.0275405,42.30045197,137288929,3269,Mental Health and Addiction Organization,Mental Health Services,Bulimia Anorexia Nervosa Association (BANA),1500 Ouellette Avenue,Suite 100,Administration and Practice Location,Windsor,N8X1K7
-83.0178764,42.32108988,137288930,30296,Mental Health and Addiction Organization,Mental Health Services,Mental Health Consumer/Survivor Employment Association of Essex County (MHCSEAEC),1412 Wyandotte Street East,10 Friends Diner,Administration and Practice Location,Windsor,N9A3K9
-78.87895794,43.88944965,137288931,3284,Mental Health and Addiction Organization,Mental Health Services,Alzheimer Society of Durham Region,419 King Street West,Suite 207,Administration and Practice Location,Oshawa,L1J2K5
-89.23772706,48.40809756,137288932,3292,Mental Health and Addiction Organization,Mental Health Services,Sexual Abuse Centre (Thunder Bay),385 Mooney Street,0,Administration and Practice Location,Thunder Bay,P7B5L5
-79.38147328,43.65488599,137288933,3293,Mental Health and Addiction Organization,Mental Health Services,Trinity Square Cafe,10 Trinity Square,0,Administrative Office,Toronto,M5G1B1
-79.38193478,43.65433869,137288934,3294,Mental Health and Addiction Organization,Mental Health Services,Trinity Square Cafe,19 Trinity Square,0,Practice Location,Toronto,M5G1B1
-79.88900505,44.74870115,137288935,3309,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes,582 Hugel Avenue,0,Administration and Practice Location,Midland,L4R1W3
-79.69391305,44.3834346,137288936,3310,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes,80 Bradford Street,Suite 143,Practice Location,Barrie,L4N6S7
-79.86742158,44.15407345,137288937,4046,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes,39 Victoria Street East,0,Practice Location,New Tecumseth,L9R1T3
-80.21335543,44.50026379,137288938,4047,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes,150 St. Paul Street,0,Practice Location,Collingwood,L9Y3P1
-81.0210478,49.06978297,137288939,3330,Mental Health and Addiction Organization,Mental Health Services,Minto Counselling Centre,233 Eighth Street,Suite 5,Administration and Practice Location,Cochrane,P0L1C0
-80.68543285,48.76906815,137288940,3331,Mental Health and Addiction Organization,Mental Health Services,Minto Counselling Centre,58 Anson,Suite A,Practice Location,Iroquois Falls,P0K1E0
-80.47016695,48.53925313,137288941,3332,Mental Health and Addiction Organization,Mental Health Services,Minto Counselling Centre,507 8th Avenue,0,Practice Location,Matheson,P0K1N0
-79.4405301,43.63958288,137288942,3341,Mental Health and Addiction Organization,Mental Health Services,"Parkdale Activity - Recreation Centre (PARC), The",1499 Queen Street West,0,Administration and Practice Location,Toronto,M6R1A3
-79.37001078,43.65869789,137288943,3351,Mental Health and Addiction Organization,Mental Health Services,Street Health Community Nursing Foundation,338 Dundas Street East,0,Administration and Practice Location,Toronto,M5A2A1
-79.38111789,43.67003169,137288944,3358,Mental Health and Addiction Organization,Mental Health Services,Gerstein Crisis Centre,100 Charles Street East,0,Administration and Practice Location,Toronto,M4Y1V3
-79.41188221,43.78638301,137288945,13132,Mental Health and Addiction Organization,Mental Health Services,Gerstein Crisis Centre,24 Silverview Drive,0,Practice Location,Toronto,M2M2B3
-79.4192846,43.64463508,137288946,30198,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Gerstein Crisis Centre,16 Ossington Street,0,Practice Location,Toronto,M6J2Y7
-74.71989698,45.03098413,137288947,3369,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Cornwall Community Hospital,850 McConnell Avenue,0,Administration and Practice Location,Cornwall,K6H4M3
-74.71835988,45.03008993,137288948,3370,Mental Health and Addiction Organization,Mental Health Services,Cornwall Community Hospital,840 McConnell Avenue,0,Practice Location,Cornwall,K6H5S5
-74.75121989,45.03473623,137288949,3372,Mental Health and Addiction Organization,Mental Health Services,Cornwall Community Hospital,1520 Cumberland Street,0,Practice Location,Cornwall,K6J4L1
-74.72059938,45.02074433,137288950,16168,Mental Health and Addiction Organization,Addiction Services,Cornwall Community Hospital,339 Second Street East,0,Practice Location,Cornwall,K6H1Y8
-74.62580817,45.29670448,137288951,16169,Mental Health and Addiction Organization,Addiction Services,Cornwall Community Hospital,555 Main Street South,0,Practice Location,Alexandria,K0C1A0
-75.3533305,45.08879481,137288952,16170,Mental Health and Addiction Organization,Addiction Services,Cornwall Community Hospital,566 Louise Street,0,Practice Location,Winchester,K0C2K0
-74.63899408,45.31285338,137288953,21875,Mental Health and Addiction Organization,Mental Health Services,Cornwall Community Hospital,110 Main Street North,0,Practice Location,Alexandria,K0C1A0
-75.3547253,45.08715191,137288954,21876,Mental Health and Addiction Organization,Mental Health Services,Cornwall Community Hospital,530 Fred Street,Suite F,Practice Location,Winchester,K0C2K0
-82.66470631,46.37708817,137288955,3377,Mental Health and Addiction Organization,Mental Health Services,North Shore Community Support Services Inc.,10 Paris Drive,Suite 6,Administration and Practice Location,Elliot Lake,P5A2L9
-79.42803959,44.61869405,137288956,3400,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Enaahtig Healing Lodge and Learning Centre,344 West Street North,0,Administration and Practice Location,Orillia,L3V5E3
-80.27638802,43.15195066,137288957,3404,Mental Health and Addiction Organization,Mental Health Services,Brant Community Healthcare System,200 Terrace Hill Street,East Wing,Administration and Practice Location,Brantford,N3R1G9
-79.4288763,43.66159508,137288958,3406,Mental Health and Addiction Organization,Mental Health Services,Sistering - A Woman's Place,962 Bloor Street West,0,Administration and Practice Location,Toronto,M6H1L6
-79.4332507,43.64077598,137288959,3407,Mental Health and Addiction Organization,Mental Health Services,Sistering - A Woman's Place,220 Cowan Avenue,0,Practice Location,Toronto,M6K2N6
-80.75472177,43.12937343,137288960,3410,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Oxford County Branch,522 Peel Street,0,Administration and Practice Location,Woodstock,N4S1K3
-80.73493554,42.86314018,137288961,3411,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Oxford County Branch,167 Rolph Street,0,Practice Location,Tillsonburg,N4G3Y9
-80.8816683,43.03811541,137288962,3412,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Oxford County Branch,19 King Street East,0,Practice Location,Ingersoll,N5C1G3
-79.38110418,43.66555749,137288963,3419,Mental Health and Addiction Organization,Mental Health Services,Central Toronto Youth Services,65 Wellesley Street East,Suite 300,Administration and Practice Location,Toronto,M4Y1G7
-93.39505326,48.61173448,137288964,3437,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch,612 Portage Avenue,0,Practice Location,Fort Frances,P9A3M8
-92.8368037,49.78249717,137288965,12092,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch,52 Van Horne Avenue,0,Practice Location,Dryden,P8N2Z2
-91.91680068,50.09823388,137288966,12095,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch,54 Front Street,"Suite 2C, 2nd Floor, Centennial Centre",Practice Location,Sioux Lookout,P8T1A5
-93.83062345,51.01811364,137288967,12096,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch,201 Hammell Road,Suite B,Practice Location,Red Lake,P0V2M0
-93.39202656,48.61025618,137288968,13849,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch,414 Scott Street,0,Administrative Office,Fort Frances,P9A1H2
-94.5000187,49.76755454,137288969,16085,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch,21 Wolsley Street,St. Joseph's Health Centre,Practice Location,Kenora,P9N3W7
-91.62290005,48.75712954,137288970,30194,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch,115 Main Street West,Northwest Health Unit,Practice Location,Atikokan,P0T1C0
-83.02858951,42.31150827,137288971,3439,Mental Health and Addiction Organization,Mental Health Services,Mental Health Connections,370 Erie Street East,0,Administration and Practice Location,Windsor,N9A3X3
-75.65532312,45.43199456,137288972,3441,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Ottawa Branch,311 McArthur Avenue,Suite 201 - 301,Administration and Practice Location,Ottawa,K1L8M3
-79.40426579,43.64741488,137288973,3449,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,"St. Christopher House, The",588 Queen Street West,2nd Floor,Administration and Practice Location,Toronto,M6J1E3
-79.68655698,43.66490677,137288974,3460,Mental Health and Addiction Organization,Mental Health Services,Services and Housing In the Province (SHIP),969 Derry Road East,Suite 107,Administration and Practice Location,Mississauga,L5T2J7
-80.10451754,43.9153785,137288975,16328,Mental Health and Addiction Organization,Mental Health Services,Services and Housing In the Province (SHIP),30 Centre Street,0,Practice Location,Orangeville,L9W2X3
-79.92957578,43.95037521,137288976,30053,Mental Health and Addiction Organization,Mental Health Services,Services and Housing In the Province (SHIP),19179 Centreville Creek Road,0,Practice Location,Caledon,L7K2M3
-77.38599439,44.16757737,137288977,3589,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,350 Front Street,Suite C2,Administrative Office,Belleville,K8N5M5
-77.38556319,44.16902327,137288978,3590,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,391 Front Street,0,Practice Location,Belleville,K8N2Z9
-77.47481584,44.50547802,137288979,3591,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,56 Russell Street,Suite B,Practice Location,Madoc,K0K2K0
-77.57705924,44.10072635,137288980,3592,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,76 Dundas Street West,0,Practice Location,Quinte West,K8V3P3
-77.13878349,44.00966455,137288981,3593,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,333 Main Street East,0,Practice Location,Prince Edward,K0K2T0
-77.85377842,45.0558805,137288982,3594,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,23 Bridge Street West,0,Practice Location,Bancroft,K0L1C0
-76.94833475,44.2484912,137288983,11273,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,58 Dundas Street East,0,Practice Location,Napanee,K7R1H8
-76.4817213,44.23222762,137288984,11274,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,60 Queen Street,0,Practice Location,Kingston,K7K6W7
-75.51884442,44.70969384,137288985,15075,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,350 Dibble Street West,3rd Floor,Practice Location,Prescott,K0E1T0
-75.51484282,44.70891794,137288986,17395,Mental Health and Addiction Organization,Mental Health Services,Peer Support South East Ontario,227 King Street West,0,Practice Location,Prescott,K0E1T0
-84.32718215,46.5111398,137288987,3600,Mental Health and Addiction Organization,Mental Health Services,Phoenix Rising Non-Profit Homes and Women's Centre  Inc.,596 Wellington Street East,0,Administration and Practice Location,Sault Ste. Marie,P6A2M5
-84.27552114,46.5234922,137288988,3601,Mental Health and Addiction Organization,Mental Health Services,Phoenix Rising Non-Profit Homes and Women's Centre  Inc.,2 Manitou Drive,0,Practice Location,Sault Ste. Marie,P6B6G5
-81.24771402,42.99367438,137288989,4812,Mental Health and Addiction Organization,Mental Health Services,ConnexOntario Health Services Information,256 Pall Mall Street,Suite 300,Administrative Office,London,N6A5P6
-75.77030386,45.33248894,137288990,3864,Mental Health and Addiction Organization,Mental Health Services,Upstream Ottawa Mental Health Community Support,100 Craig Henry Drive,Suite 204,Administration and Practice Location,Ottawa,K2G5W3
-76.37855273,45.02249156,137288991,14163,Mental Health and Addiction Organization,Addiction Services,Lanark Health and Community Services,207 Robertson Drive,0,Administrative Office,Lanark,K0G1K0
-76.13891356,45.13383909,137288992,4545,Mental Health and Addiction Organization,Addiction Services,Open Doors For Lanark Children and Youth,130 Lansdowne Avenue,Unit 10,Administrative Office,Carleton Place,K7C2T7
-79.37287829,43.7228543,137288993,5217,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Sunnybrook Health Sciences Centre,2075 Bayview Avenue,0,Administration and Practice Location,Toronto,M4N3M5
-76.4831598,44.23377052,137288994,6166,Mental Health and Addiction Organization,Addiction Services,Kingston Community Health Centres,115 Barrack Street,0,Administration and Practice Location,Kingston,K7K1G2
-76.4920591,44.26243372,137288995,17003,Mental Health and Addiction Organization,Addiction Services,Kingston Community Health Centres,263 Weller Avenue,"Suite Unit, 4",Administrative Office,Kingston,K7K2V4
-81.23480391,42.98850838,137288996,7291,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Southwest Ontario Aboriginal Health Access Centre,427 William Street,Suite 425,Administration and Practice Location,London,N6B3E1
-81.53647249,42.80904453,137288997,7293,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Southwest Ontario Aboriginal Health Access Centre,77 Anishnaabeg Drive,R.R. 1,Practice Location,Muncey,N0L1Y0
-83.04536531,42.29649927,137288998,17558,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Southwest Ontario Aboriginal Health Access Centre,1405 Tecumseh Road West,0,Practice Location,Windsor,N9B1T7
-80.92639406,44.56439607,137288999,30294,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Southwest Ontario Aboriginal Health Access Centre,733 9th Avenue East,"Suite Number, 3",Practice Location,Owen Sound,N4K3E6
-80.49558932,43.4443875,137289000,5140,Mental Health and Addiction Organization,Addiction Services,Ray of Hope Inc.,19 Schneider Avenue,0,Practice Location,Kitchener,N2G1K7
-80.47845411,43.4446141,137289001,11912,Mental Health and Addiction Organization,Addiction Services,Ray of Hope Inc.,659 King Street East,Suite 270,Administration and Practice Location,Kitchener,N2G2M4
-79.37938038,43.65654429,137289002,5311,Mental Health and Addiction Organization,Addiction Services,City of Toronto,277 Victoria Street,Main Floor,Administration and Practice Location,Toronto,M5B1W2
-80.97982518,46.52197809,137289003,5692,Mental Health and Addiction Organization,Mental Health Services,Compass,319 Lasalle Boulevard,0,Administrative Office,Greater Sudbury,P3A1W7
-80.99864938,46.49463048,137289004,5694,Mental Health and Addiction Organization,Mental Health Services,Compass,62 Frood Road,Suite 100,Practice Location,Greater Sudbury,P3C4Z3
-81.92562813,45.97943995,137289005,5695,Mental Health and Addiction Organization,Mental Health Services,Compass,15 Manitowaning Road,0,Practice Location,Little Current,P0P1K0
-81.76478791,46.2569708,137289006,5697,Mental Health and Addiction Organization,Mental Health Services,Compass,407 Centre Street,Suite 1,Practice Location,Espanola,P5E1J5
-83.40118583,47.84340386,137289007,5698,Mental Health and Addiction Organization,Mental Health Services,Compass,34 Birch Street East,0,Practice Location,Chapleau,P0M1K0
-82.93827008,42.29145827,137289008,5725,Mental Health and Addiction Organization,Mental Health Services,Children First in Essex County,3295 Quality Way,Unit 102,Administration and Practice Location,Windsor,N8T3R9
-77.40669349,44.14797696,137289009,5730,Mental Health and Addiction Organization,Mental Health Services,Children's Mental Health Services of Hastings and Prince Edward,3 Applewood Drive,Unit 300,Administration and Practice Location,Belleville,K8P4E3
-77.85353162,45.0566876,137289010,5731,Mental Health and Addiction Organization,Mental Health Services,Children's Mental Health Services of Hastings and Prince Edward,8 Hastings Street,0,Practice Location,Bancroft,K0L1C0
-77.14426129,44.00578835,137289011,5732,Mental Health and Addiction Organization,Mental Health Services,Children's Mental Health Services of Hastings and Prince Edward,124 Main Street West,Unit 107,Practice Location,Prince Edward,K0K2T0
-77.57757164,44.10132925,137289012,5733,Mental Health and Addiction Organization,Mental Health Services,Children's Mental Health Services of Hastings and Prince Edward,30 King Street,Unit 201,Practice Location,Quinte West,K8V3V8
-77.47210764,44.50322032,137289013,6596,Mental Health and Addiction Organization,Mental Health Services,Children's Mental Health Services of Hastings and Prince Edward,167 Durham Street South,0,Practice Location,Madoc,K0K2K0
-78.73330564,44.34910974,137289014,30583,Mental Health and Addiction Organization,Mental Health Services,Chimo Youth & Family Services,107 Lindsay Street South,0,Administration and Practice Location,Kawartha Lakes,K9V2M5
-82.26996104,43.02449474,137289015,5787,Mental Health and Addiction Organization,Mental Health Services,Youth Services of Lambton County Inc.,2473 Lakeshore Road,0,Administration and Practice Location,Sarnia,N0N1C0
-79.91380782,43.23190429,137289016,5818,Mental Health and Addiction Organization,Mental Health Services,Lynwood Charlton Centre,526 Upper Paradise Road,0,Administration and Practice Location,Hamilton,L9C5E3
-80.00722975,43.29250659,137289017,6599,Mental Health and Addiction Organization,Mental Health Services,Lynwood Charlton Centre,831 Collinson Road,0,Practice Location,Hamilton,L9H5E2
-79.8656058,43.25126299,137289018,30586,Mental Health and Addiction Organization,Mental Health Services,Lynwood Charlton Centre,121 Augusta Street,0,Practice Location,Hamilton,L8N1R5
-79.8662402,43.24935549,137289019,30587,Mental Health and Addiction Organization,Mental Health Services,Lynwood Charlton Centre,135 Forest Avenue,0,Practice Location,Hamilton,L8N1X6
-79.68846285,44.4096552,137289020,5825,Mental Health and Addiction Organization,Mental Health Services,New Path Youth & Family Services,165 Ferris Lane,Barrie Common Roof,Administration and Practice Location,Barrie,L4M2Y1
-79.87103109,44.15276135,137289021,5827,Mental Health and Addiction Organization,Mental Health Services,New Path Youth & Family Services,46 Wellington Street West,0,Practice Location,New Tecumseth,L9R1J3
-79.56609848,44.11725656,137289022,5828,Mental Health and Addiction Organization,Mental Health Services,New Path Youth & Family Services,118 Barrie Street,0,Practice Location,Bradford West Gwillimbury,L3Z2B4
-80.22947743,44.48304149,137289023,5830,Mental Health and Addiction Organization,Mental Health Services,New Path Youth & Family Services,199 Campbell Street,0,Practice Location,Collingwood,L9Y4J9
-79.41127648,44.60535525,137289024,5831,Mental Health and Addiction Organization,Mental Health Services,New Path Youth & Family Services,169 Front Street,Orillia Common Roof,Practice Location,Orillia,L3V4S8
-79.65842752,44.17091696,137289025,5832,Mental Health and Addiction Organization,Mental Health Services,New Path Youth & Family Services,3740 Line 13,0,Practice Location,Bradford West Gwillimbury,L0L1L0
-79.87133964,44.73461495,137289026,30449,Mental Health and Addiction Organization,Mental Health Services,New Path Youth & Family Services,845 King Street,Suite 4,Practice Location,Midland,L4R0B7
-92.8352316,49.78119637,137289027,5848,Mental Health and Addiction Organization,Mental Health Services,Firefly,75 Van Horne Avenue,Unit C,Practice Location,Dryden,P8N2B2
-93.82725145,51.01939314,137289028,5849,Mental Health and Addiction Organization,Mental Health Services,Firefly,201 Howey Street,0,Practice Location,Red Lake,P0V2M0
-91.91337468,50.10912889,137289029,5850,Mental Health and Addiction Organization,Mental Health Services,Firefly,86 Third Avenue North,0,Practice Location,Sioux Lookout,P8T1H1
-94.52796201,49.76332204,137289030,14015,Mental Health and Addiction Organization,Mental Health Services,Firefly,820 Lakeview Drive,0,Administration and Practice Location,Kenora,P9N3P7
-77.11573594,45.82511356,137289031,5852,Mental Health and Addiction Organization,Mental Health Services,Phoenix Centre for Children and Families,130 Pembroke Street West,Suite 200,Administration and Practice Location,Pembroke,K8A5M8
-76.68319367,45.47268052,137289032,5853,Mental Health and Addiction Organization,Mental Health Services,Phoenix Centre for Children and Families,191 Plaunt Street South,0,Practice Location,Renfrew,K7V1M7
-76.36199826,45.43402923,137289033,18700,Mental Health and Addiction Organization,Mental Health Services,Phoenix Centre for Children and Families,16 Edward Street South,"Suite 201C, Kenwood Corporate Centre",Practice Location,Arnprior,K7S3W4
-77.41484902,45.5549996,137289034,18702,Mental Health and Addiction Organization,Mental Health Services,Phoenix Centre for Children and Families,15 Lake Street,Community Resource Centre,Practice Location,Killaloe,K0J2A0
-77.2568114,45.89350867,137289035,18703,Mental Health and Addiction Organization,Mental Health Services,Phoenix Centre for Children and Families,154 Civic Centre Road,Petawawa Centennial Health Centre,Practice Location,Petawawa,K8H3H5
-81.2170317,42.97830788,137289036,5876,Mental Health and Addiction Organization,Addiction Services,Vanier Children's Services,871 Trafalgar Street,0,Administrative Office,London,N5Z1E6
-79.87059351,43.3166825,137289037,5879,Mental Health and Addiction Organization,Mental Health Services,Woodview Mental Health & Autism Services,69 Flatt Road,0,Administrative Office,Burlington,L7P0T3
-80.25134602,43.18749236,137289038,5880,Mental Health and Addiction Organization,Mental Health Services,Woodview Mental Health & Autism Services,643 Park Road North,0,Practice Location,Brantford,N3T5L8
-79.94175973,43.25019229,137289039,18399,Mental Health and Addiction Organization,Mental Health Services,Woodview Mental Health & Autism Services,1900 Main Street West,Suite 1,Practice Location,Hamilton,L8S4R8
-79.78966269,43.36003352,137289040,30689,Mental Health and Addiction Organization,Mental Health Services,Woodview Mental Health & Autism Services,3385 Harvester Road,Suite 102,Practice Location,Burlington,L7N3N3
-80.26515272,43.13875905,137289041,30691,Mental Health and Addiction Organization,Mental Health Services,Woodview Mental Health & Autism Services,120 Colborne Street,Suite 106 - 107,Practice Location,Brantford,N3T2G6
-80.26406392,43.15873576,137289042,30703,Mental Health and Addiction Organization,Mental Health Services,Woodview Mental Health & Autism Services,124 Charing Cross,0,Practice Location,Brantford,N3R2J1
-80.38459266,43.19495656,137289043,30705,Mental Health and Addiction Organization,Mental Health Services,Woodview Mental Health & Autism Services,139 Grand River Street North,0,Practice Location,Brant,N3L2M4
-79.38637899,43.65541839,137289044,6394,Mental Health and Addiction Organization,Addiction Services,Pine River Institute,180 Dundas Street West,Suite 1410,Administrative Office,Toronto,M5G1Z8
-75.69116494,45.43060086,137289045,7707,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Montfort Renaissance Inc.,162 Murray Street,0,Administrative Office,Ottawa,K1N5M8
-75.60746511,45.44612376,137289046,7710,Mental Health and Addiction Organization,Addiction Services,Montfort Renaissance Inc.,1777 Montreal Road,0,Practice Location,Ottawa,K1J6N1
-75.65635673,45.43773706,137289047,14390,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Montfort Renaissance Inc.,338 Montreal Road,0,Practice Location,Ottawa,K1L6B3
-75.54326339,45.46249017,137289048,22832,Mental Health and Addiction Organization,Mental Health Services,Montfort Renaissance Inc.,1900 St. Joseph Boulevard,0,Practice Location,Ottawa,K1C1E4
-93.36075765,48.62881969,137289049,7952,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Fort Frances Tribal Area Health Services Inc.,1460 Idylwild Drive,0,Administrative Office,Fort Frances,P9A3M3
-93.41658526,48.60947668,137289050,7953,Mental Health and Addiction Organization,Mental Health Services,Fort Frances Tribal Area Health Services Inc.,601 Kings Highway,0,Practice Location,Fort Frances,P9A2X1
-79.33378667,44.78442448,137289051,30059,Mental Health and Addiction Organization,Addiction Services,Fort Frances Tribal Area Health Services Inc.,1107 Highway 11,1107 Mishkiki Miikan Road,Practice Location,Gravenhurst,P9A3M9
-79.38712469,43.66152239,137289052,10393,Mental Health and Addiction Organization,Addiction Services,Women's College Hospital,76 Grenville Street,0,Administration and Practice Location,Toronto,M5S1B2
-94.48774959,49.76518544,137289053,8413,Mental Health and Addiction Organization,Mental Health Services,Waasegiizhig Nanaandawe'iyewigamig,212 Fourth Avenue South,0,Practice Location,Kenora,P9N1Y9
-82.42192801,46.20594026,137289054,8452,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Maamwesying North Shore Community Health Services Inc.,473 Highway 17 West,Suite B,Administrative Office,Cutler,P0P1B0
-81.17895173,46.39804346,137289055,8492,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Maamwesying North Shore Community Health Services Inc.,25 Reserve Road,Atikameksheng Anishnawbek Shawenekezhik Health Centre,Practice Location,Naughton,P0M2M0
-82.1046961,46.15639137,137289056,8493,Mental Health and Addiction Organization,Mental Health Services,Maamwesying North Shore Community Health Services Inc.,Espaniel Road,Sagamok Anishnawbek Sagmok Naandwedjige Gamik,Practice Location,Massey,P0P1P0
-82.47932143,46.20700586,137289057,8494,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Maamwesying North Shore Community Health Services Inc.,Ball Park Road,Serpent River First Nation Kenabutch Health Centre,Practice Location,Cutler,P0P1B0
-83.0057776,46.19684173,137289058,8495,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Maamwesying North Shore Community Health Services Inc.,64 Park Road,Mississauga First Nation Health Centre,Practice Location,Blind River,P0R1B0
-83.55637298,46.2559618,137289059,8496,Mental Health and Addiction Organization,Mental Health Services,Maamwesying North Shore Community Health Services Inc.,35 Sugarbush Road,"R.R. 2, Thessalon First Nation Health Centre",Practice Location,Thessalon,P0R1L0
-84.1501728,46.53617581,137289060,8497,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Maamwesying North Shore Community Health Services Inc.,23 Shingwauk Street,Garden River First Nation Naan Doo We'an Wigwam Health Centre,Practice Location,Garden River,P6A6Z9
-84.26153264,46.53001361,137289061,8498,Mental Health and Addiction Organization,Mental Health Services,Maamwesying North Shore Community Health Services Inc.,200 Gran Street,Batchewana First Nation Health Centre,Practice Location,Sault Ste. Marie,P6A5K9
-84.32699016,46.5081326,137289062,8499,Mental Health and Addiction Organization,Mental Health Services,Maamwesying North Shore Community Health Services Inc.,122 East Street,"Suite Marie, Indian Friendship Centre of Sault",Practice Location,Sault Ste. Marie,P6A3C6
-82.0776205,46.21257388,137289063,30634,Mental Health and Addiction Organization,Addiction Services,Maamwesying North Shore Community Health Services Inc.,51 Kokoko Miikum,Saswin,Practice Location,Massey,P0P1P0
-83.41738484,46.26072121,137289064,30635,Mental Health and Addiction Organization,Addiction Services,Maamwesying North Shore Community Health Services Inc.,40 Sugarbush Road,"R.R. 2, Thessalon First Nation Band Office",Practice Location,Thessalon,P0R1L0
